               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063344,            0.025505,            0.029408,             0.16349,             0.43872,             0.27854,             0.13132,            0.015053,           0.0064777,           0.0086128,            0.070526,           0.0032749,           0.0032749
                   1,            0.041152,            0.017211,             0.02057,             0.24705,             0.51892,             0.33237,             0.16061,            0.020995,            0.003732,             0.00737,            0.040461,           0.0065428,           0.0065428
                   2,            0.037031,             0.01547,            0.014273,             0.32228,             0.61876,             0.38841,             0.19423,             0.01759,           0.0042513,            0.007798,            0.010329,           0.0097447,           0.0097447
                   3,            0.036675,            0.014731,            0.011417,             0.47057,              0.3216,             0.36588,             0.18749,            0.013242,           0.0049931,            0.010279,            0.009703,            0.009703,            0.009703
                   4,            0.033138,            0.014638,            0.011114,              0.4821,             0.64402,             0.52805,              0.3059,            0.013743,           0.0055367,           0.0097092,            0.009703,            0.009703,            0.009703
                   5,            0.033258,            0.014343,           0.0098727,             0.33887,             0.42726,             0.39517,             0.22262,            0.013274,           0.0054457,           0.0081619,            0.009604,            0.009604,            0.009604
                   6,            0.029334,            0.013748,           0.0079809,             0.61928,             0.50474,             0.52709,             0.30517,            0.011016,           0.0042311,           0.0058823,            0.009505,            0.009505,            0.009505
                   7,            0.032632,            0.013849,           0.0090194,             0.77096,             0.60535,             0.66921,             0.38328,            0.011308,           0.0044629,           0.0047161,            0.009406,            0.009406,            0.009406
                   8,            0.028147,            0.013214,           0.0066412,             0.58708,             0.68459,             0.64513,              0.3705,           0.0097358,           0.0043602,           0.0047997,            0.009307,            0.009307,            0.009307
                   9,            0.025513,            0.012511,            0.005336,             0.67095,             0.78556,             0.70662,             0.47127,           0.0097651,           0.0039777,           0.0030121,            0.009208,            0.009208,            0.009208
                  10,            0.030709,             0.01227,           0.0062945,              0.6982,             0.74229,              0.7413,             0.45943,            0.009141,           0.0040063,           0.0039654,            0.009109,            0.009109,            0.009109
                  11,            0.028017,            0.013152,           0.0089331,             0.52858,             0.68186,             0.59502,              0.3265,            0.011414,           0.0039505,           0.0061798,             0.00901,             0.00901,             0.00901
                  12,            0.027289,            0.013002,           0.0063373,             0.66239,             0.49951,             0.53613,             0.33483,           0.0094976,           0.0041547,           0.0090317,            0.008911,            0.008911,            0.008911
                  13,            0.026837,            0.012066,           0.0056581,             0.85703,             0.74555,             0.86167,             0.55624,           0.0078574,           0.0032958,           0.0027145,            0.008812,            0.008812,            0.008812
                  14,            0.026403,            0.012013,           0.0058057,             0.59395,             0.52141,             0.59056,             0.42831,           0.0083237,           0.0042841,           0.0044437,            0.008713,            0.008713,            0.008713
                  15,            0.023754,            0.012563,           0.0049792,             0.62463,             0.74614,             0.84284,              0.5412,           0.0083863,           0.0038531,           0.0062096,            0.008614,            0.008614,            0.008614
                  16,              0.0254,            0.012404,           0.0061147,             0.80547,             0.71196,              0.8018,             0.55463,           0.0083152,           0.0035498,           0.0037039,            0.008515,            0.008515,            0.008515
                  17,            0.026921,             0.01249,           0.0081036,             0.74287,             0.77722,             0.83854,             0.45688,           0.0095746,           0.0032398,           0.0047024,            0.008416,            0.008416,            0.008416
