               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.013092,           0.0077094,          0.00056343,              0.9784,             0.90679,             0.92396,             0.66078,           0.0060561,           0.0029083,           0.0012686,            0.006634,            0.006634,            0.006634
                  36,            0.016393,           0.0076299,          0.00047642,             0.96504,             0.91194,              0.9278,             0.60608,           0.0067821,           0.0027885,           0.0011242,            0.006535,            0.006535,            0.006535
                  37,            0.014337,           0.0073879,          0.00037508,             0.98016,             0.91446,             0.92622,             0.71981,           0.0060324,           0.0024158,          0.00080535,            0.006436,            0.006436,            0.006436
                  38,            0.013878,           0.0070834,           0.0003898,              0.9743,             0.91446,             0.96945,             0.81595,           0.0049361,           0.0019958,          0.00056694,            0.006337,            0.006337,            0.006337
                  39,            0.015219,           0.0070665,          0.00036686,             0.97539,              0.9432,             0.98986,             0.84275,            0.003775,           0.0019939,          0.00030787,            0.006238,            0.006238,            0.006238
                  40,            0.019046,           0.0070635,          0.00093938,             0.98665,             0.95223,             0.96598,             0.81363,           0.0041551,           0.0028695,          0.00031109,            0.006139,            0.006139,            0.006139
                  41,             0.01361,           0.0071527,          0.00056606,             0.96867,             0.92308,             0.94363,             0.63548,           0.0073692,           0.0028402,           0.0005127,             0.00604,             0.00604,             0.00604
                  42,            0.016507,           0.0072287,          0.00046386,             0.96955,             0.92308,             0.92096,             0.46741,            0.010321,           0.0029177,           0.0011866,            0.005941,            0.005941,            0.005941
                  43,             0.01595,           0.0072262,          0.00042016,             0.99652,             0.92308,             0.94206,             0.68628,              0.0072,           0.0033077,          0.00085053,            0.005842,            0.005842,            0.005842
                  44,            0.014434,           0.0070474,          0.00048466,             0.81299,             0.57692,             0.59368,             0.38374,              0.0114,           0.0033714,           0.0093872,            0.005743,            0.005743,            0.005743
                  45,            0.016337,           0.0069999,          0.00037105,             0.93636,             0.47291,             0.48679,             0.34872,            0.011537,           0.0039101,            0.010629,            0.005644,            0.005644,            0.005644
                  46,            0.015744,           0.0069541,          0.00041699,             0.94062,             0.59566,              0.6628,             0.37769,            0.011671,           0.0034324,           0.0054153,            0.005545,            0.005545,            0.005545
                  47,            0.018332,           0.0068894,          0.00029873,             0.97578,             0.87662,             0.94174,             0.53207,           0.0089418,            0.004687,          0.00068626,            0.005446,            0.005446,            0.005446
                  48,            0.011328,           0.0068342,          0.00026772,             0.98601,             0.88097,              0.9239,             0.56309,           0.0079115,            0.003497,           0.0012162,            0.005347,            0.005347,            0.005347
                  49,            0.012092,           0.0066548,          0.00025157,             0.99249,             0.92119,              0.9228,             0.66322,           0.0070696,            0.003121,           0.0010382,            0.005248,            0.005248,            0.005248
                  50,            0.011545,           0.0066881,          0.00026326,             0.99364,             0.91107,             0.92233,             0.72106,           0.0066204,           0.0025753,          0.00075712,            0.005149,            0.005149,            0.005149
                  51,            0.013396,           0.0067959,           0.0002644,             0.98727,             0.91139,             0.92942,             0.74257,           0.0050064,           0.0026918,          0.00089731,             0.00505,             0.00505,             0.00505
                  52,            0.012472,            0.006698,           0.0017326,             0.98521,             0.94854,              0.9925,              0.8476,           0.0038051,           0.0017577,          0.00057602,            0.004951,            0.004951,            0.004951
                  53,            0.015626,           0.0066942,            0.001401,             0.98359,             0.98816,             0.99492,             0.83913,           0.0046078,            0.001786,          0.00022182,            0.004852,            0.004852,            0.004852
                  54,             0.01441,            0.006467,          0.00032339,             0.98329,                   1,               0.995,             0.84158,           0.0049618,           0.0017743,          0.00021377,            0.004753,            0.004753,            0.004753
                  55,            0.015423,           0.0066906,          0.00034195,             0.97709,             0.92308,             0.97956,             0.80378,           0.0050847,           0.0019768,          0.00019984,            0.004654,            0.004654,            0.004654
                  56,            0.014005,           0.0064868,          0.00025652,             0.97537,             0.91972,             0.92353,             0.68246,           0.0056567,           0.0023613,          0.00073481,            0.004555,            0.004555,            0.004555
                  57,             0.01608,           0.0067846,          0.00026639,             0.97847,              0.9228,             0.98922,             0.77058,           0.0050306,           0.0024171,          0.00046377,            0.004456,            0.004456,            0.004456
                  58,            0.015616,            0.006472,          0.00027199,             0.98831,                   1,             0.99492,             0.81264,           0.0057152,           0.0025498,          0.00011299,            0.004357,            0.004357,            0.004357
                  59,            0.012749,            0.006235,          0.00020675,             0.98689,                   1,             0.99492,             0.83118,           0.0056348,           0.0023039,          9.9111e-05,            0.004258,            0.004258,            0.004258
                  60,            0.012721,           0.0063521,          0.00052685,             0.99309,             0.92308,             0.94736,             0.75789,           0.0051294,           0.0026856,          0.00020571,            0.004159,            0.004159,            0.004159
                  61,            0.011577,           0.0064852,          0.00035938,             0.98825,             0.94974,             0.96569,             0.64839,           0.0066588,           0.0028842,           0.0003808,             0.00406,             0.00406,             0.00406
                  62,             0.01202,           0.0066073,          0.00036508,             0.99384,             0.92034,             0.95898,             0.70972,           0.0056896,           0.0027988,          0.00041122,            0.003961,            0.003961,            0.003961
                  63,            0.012821,           0.0064406,          0.00020153,             0.99186,              0.9558,             0.96669,             0.73194,            0.005767,           0.0027058,          0.00024648,            0.003862,            0.003862,            0.003862
                  64,            0.013218,           0.0062751,          0.00027014,             0.99334,             0.99974,               0.995,             0.82051,           0.0044744,           0.0025016,          0.00010219,            0.003763,            0.003763,            0.003763
                  65,            0.013991,           0.0064634,          0.00030937,             0.99313,             0.98965,               0.995,             0.81773,           0.0049356,           0.0020256,          0.00011027,            0.003664,            0.003664,            0.003664
                  66,            0.011624,           0.0062905,          0.00024608,             0.98088,             0.92308,             0.94082,             0.80585,           0.0042858,           0.0017678,           0.0002538,            0.003565,            0.003565,            0.003565
                  67,            0.011991,            0.006087,          0.00025973,             0.99208,                   1,               0.995,             0.82944,           0.0046581,           0.0018739,          8.8072e-05,            0.003466,            0.003466,            0.003466
