               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024244,           0.0083247,            0.022439,             0.67907,             0.53639,             0.61932,             0.31544,            0.024667,           0.0059438,            0.013558,            0.006535,            0.006535,            0.006535
                  37,            0.022087,           0.0086334,             0.02304,              0.6229,             0.56942,             0.60871,             0.27192,            0.025706,           0.0071514,            0.017787,            0.006436,            0.006436,            0.006436
                  38,            0.023307,           0.0082292,             0.02221,              0.7143,             0.71374,             0.75533,             0.37762,            0.024424,            0.005395,            0.021964,            0.006337,            0.006337,            0.006337
                  39,            0.021597,           0.0082269,            0.022006,             0.73233,             0.70877,             0.77459,             0.41785,            0.021968,           0.0054933,            0.015027,            0.006238,            0.006238,            0.006238
                  40,            0.022264,           0.0081765,            0.019897,             0.70892,             0.65312,             0.69967,             0.32818,            0.025523,           0.0057832,             0.01172,            0.006139,            0.006139,            0.006139
                  41,            0.022617,           0.0083098,            0.020618,             0.77213,             0.75848,             0.81732,               0.431,            0.022056,           0.0056864,           0.0089262,             0.00604,             0.00604,             0.00604
                  42,            0.022196,           0.0080158,            0.020017,             0.72174,             0.65107,             0.70608,              0.3287,            0.025124,           0.0057905,              0.0142,            0.005941,            0.005941,            0.005941
                  43,            0.021809,           0.0081773,            0.019011,              0.6791,             0.75204,             0.77567,             0.39027,            0.022857,           0.0056318,            0.014341,            0.005842,            0.005842,            0.005842
                  44,            0.022642,           0.0080239,            0.019005,             0.68744,             0.61178,             0.66508,             0.29332,             0.02638,           0.0060251,            0.022169,            0.005743,            0.005743,            0.005743
                  45,            0.022013,            0.008388,            0.022435,             0.67144,             0.66261,             0.71731,             0.32668,            0.026452,           0.0065008,            0.023481,            0.005644,            0.005644,            0.005644
                  46,            0.021356,           0.0080316,            0.020544,             0.64692,             0.58577,             0.62656,              0.3413,            0.022546,           0.0072988,            0.026214,            0.005545,            0.005545,            0.005545
                  47,            0.020444,           0.0078098,            0.020556,             0.79527,             0.77298,             0.82135,             0.41805,            0.022867,           0.0057861,            0.017851,            0.005446,            0.005446,            0.005446
                  48,            0.020266,           0.0076411,            0.018806,             0.72432,             0.69322,             0.72718,             0.39008,            0.024714,           0.0057474,            0.015457,            0.005347,            0.005347,            0.005347
                  49,            0.020778,            0.007963,            0.018675,             0.72601,             0.68219,             0.73517,             0.37125,            0.026871,            0.006011,            0.017496,            0.005248,            0.005248,            0.005248
                  50,            0.021413,           0.0078271,            0.016855,             0.75468,             0.79176,             0.81372,             0.43077,            0.020861,           0.0051876,            0.014354,            0.005149,            0.005149,            0.005149
                  51,             0.01921,           0.0077572,            0.018552,             0.78687,             0.71998,             0.77138,             0.40409,            0.023598,           0.0057211,             0.01924,             0.00505,             0.00505,             0.00505
                  52,            0.019708,            0.007836,            0.017783,             0.77156,             0.75116,             0.79178,             0.42621,            0.022692,           0.0059133,             0.01339,            0.004951,            0.004951,            0.004951
                  53,            0.018921,           0.0075025,            0.018401,             0.73755,             0.74347,             0.78409,             0.42284,            0.021905,           0.0053814,            0.013293,            0.004852,            0.004852,            0.004852
                  54,            0.019532,           0.0074701,            0.017929,             0.80096,             0.68167,             0.77499,             0.42706,            0.023303,           0.0054748,            0.023693,            0.004753,            0.004753,            0.004753
                  55,            0.021235,           0.0077517,            0.017132,             0.72508,             0.72969,             0.78095,             0.37043,            0.022155,           0.0054812,           0.0088976,            0.004654,            0.004654,            0.004654
                  56,            0.020709,           0.0074735,            0.017528,              0.8181,              0.8127,             0.84739,             0.42888,            0.021079,           0.0055664,            0.013171,            0.004555,            0.004555,            0.004555
                  57,            0.020155,           0.0073978,            0.017913,             0.76303,             0.70241,             0.73325,             0.37621,            0.022534,           0.0062134,            0.012984,            0.004456,            0.004456,            0.004456
                  58,            0.020846,           0.0071505,            0.016666,             0.83709,             0.76959,             0.83748,             0.42997,            0.022204,           0.0054858,            0.016655,            0.004357,            0.004357,            0.004357
