               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069378,            0.025447,            0.034512,             0.55535,             0.38105,             0.29989,             0.13841,            0.033228,           0.0072629,           0.0082895,            0.070236,           0.0033071,           0.0033071
                   1,            0.047417,             0.01656,            0.016974,             0.53742,             0.40012,             0.36323,             0.19108,            0.032802,           0.0063663,            0.010632,             0.04017,           0.0065747,           0.0065747
                   2,            0.044686,            0.014752,            0.011856,             0.49095,             0.29623,             0.31885,              0.1528,            0.042275,           0.0059884,           0.0055703,            0.010039,           0.0097763,           0.0097763
                   3,            0.042823,            0.015158,            0.012005,             0.41135,             0.16949,            0.099735,            0.044792,            0.043062,           0.0090442,            0.053998,            0.009703,            0.009703,            0.009703
                   4,            0.041009,            0.014592,            0.012125,             0.56478,             0.30106,             0.35424,             0.18186,            0.036408,           0.0068025,           0.0099829,            0.009703,            0.009703,            0.009703
                   5,            0.037939,            0.013597,           0.0087894,             0.66857,              0.4118,             0.41131,              0.2404,             0.03097,           0.0069411,           0.0056924,            0.009604,            0.009604,            0.009604
                   6,            0.035986,             0.01322,           0.0080342,             0.44213,             0.38481,             0.31755,             0.13432,            0.037758,           0.0073946,            0.006797,            0.009505,            0.009505,            0.009505
                   7,            0.036156,            0.013407,           0.0078692,             0.65392,             0.47812,             0.48111,             0.27156,            0.031928,           0.0074159,           0.0069163,            0.009406,            0.009406,            0.009406
                   8,            0.034554,            0.012901,           0.0083738,             0.91753,             0.24264,             0.34058,             0.22679,            0.040007,           0.0074441,            0.033875,            0.009307,            0.009307,            0.009307
                   9,             0.03139,            0.012219,           0.0057488,             0.77217,             0.57648,             0.60894,             0.37556,            0.024416,           0.0056813,            0.004438,            0.009208,            0.009208,            0.009208
                  10,             0.03147,            0.011883,           0.0059353,             0.73325,              0.6052,             0.60714,             0.40353,            0.027417,           0.0056998,           0.0038509,            0.009109,            0.009109,            0.009109
                  11,            0.031922,            0.011899,           0.0065994,             0.72213,             0.58329,             0.61743,             0.40297,            0.028302,           0.0056872,           0.0030334,             0.00901,             0.00901,             0.00901
                  12,            0.029679,            0.011991,           0.0077502,             0.75379,             0.47433,             0.51945,             0.27798,            0.033018,           0.0066375,           0.0092946,            0.008911,            0.008911,            0.008911
                  13,            0.029827,             0.01204,           0.0069242,             0.74908,             0.58278,             0.59182,             0.37866,            0.027418,           0.0059988,           0.0042557,            0.008812,            0.008812,            0.008812
                  14,            0.028371,            0.011571,            0.006892,             0.80443,             0.57355,             0.60532,             0.35602,            0.027171,           0.0059476,              0.0046,            0.008713,            0.008713,            0.008713
                  15,            0.029212,            0.011364,           0.0055513,             0.69825,             0.42613,             0.49674,             0.29437,            0.033766,           0.0067832,           0.0099521,            0.008614,            0.008614,            0.008614
                  16,            0.026784,            0.010843,           0.0052556,             0.81245,             0.67975,             0.72043,             0.47967,            0.024687,           0.0052439,           0.0028274,            0.008515,            0.008515,            0.008515
                  17,            0.026655,              0.0106,           0.0045194,             0.62168,             0.51654,             0.55734,             0.33667,            0.028786,           0.0054506,            0.003457,            0.008416,            0.008416,            0.008416
                  18,            0.027517,            0.010535,           0.0040843,              0.8029,             0.63238,             0.70053,              0.4667,            0.024644,           0.0059998,           0.0096387,            0.008317,            0.008317,            0.008317
                  19,             0.02793,             0.01079,           0.0053765,             0.55152,             0.66593,             0.65391,             0.44355,            0.025036,           0.0058835,           0.0052669,            0.008218,            0.008218,            0.008218
                  20,            0.026706,            0.010467,           0.0045426,             0.78754,             0.67205,             0.70769,             0.48677,            0.023464,           0.0062769,           0.0056656,            0.008119,            0.008119,            0.008119
                  21,            0.025439,            0.010224,           0.0047844,             0.82982,             0.63165,             0.70191,             0.46634,            0.024648,           0.0055688,           0.0030156,             0.00802,             0.00802,             0.00802
                  22,            0.023468,             0.01023,           0.0042311,             0.77243,             0.65525,             0.70474,             0.44565,            0.023381,           0.0049322,           0.0028768,            0.007921,            0.007921,            0.007921
                  23,            0.024508,            0.010244,           0.0044726,              0.4961,             0.56861,             0.59331,             0.36393,            0.026916,           0.0055548,           0.0022975,            0.007822,            0.007822,            0.007822
